,id,name,BRNtype,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,Id,CAT,CAT_ID,H_id,Name_type
0,5636,NGC0040,PN,0.056798104403547135,1.2657467105039655,Cep,0.8,,,11.27,11.89,10.89,10.8,10.38,,,0.5041,-7.249,-1.811,-20.0,-6.8e-05,11.14,11.82,11.58,,,,"HD 000826,HIP 001041,TYC 4302-01297-1","C 002,IRAS 00102+7214,PN G120.0+09.8",Bow-Tie nebula,,,False,1,NGC,40,H1,Bow-Tie Nebula
1,5731,NGC0129,OCl,0.13076806698515347,1.0508831048003926,Cas,5.4,,,7.33,6.5,,,,,,0.511,-2.605,-1.096,-36.0,-0.000119,,,,,,,,MWSC 0053,,,,False,2,NGC,129,H2,open cluster
2,5738,NGC0136,OCl,0.13750212901576495,1.0735389329323222,Cas,3.3,,,,,,,,,,0.181,-1.648,-0.522,-52.0,-0.000174,,,,,,,,MWSC 0056,,,,False,3,NGC,136,H3,open cluster
3,5739,NGC0137,G,0.13512484513044432,0.1781704822487978,Psc,1.38,1.38,30.0,13.75,12.79,10.62,9.88,9.64,23.22,S0,,,,5230.0,0.0176,,,,,,,,"2MASX J00305810+1012304,MCG +02-02-017,PGC 001888,UGC 00309",,,,False,30,NGC,137,H30,galaxy
4,5759,NGC0157,G,0.1517534695788203,-0.14654560101634168,Cet,3.7,1.9,28.0,11.07,13.11,8.6,7.92,7.68,22.13,SABb,,,,1658.0,0.005546,,,,,,,,"2MASX J00344675-0823473,IRAS 00322-0840,MCG -02-02-056,PGC 002081",,Extended HIPASS source,,False,4,NGC,157,H4,galaxy
5,5788,NGC0185,G,0.1700219763035493,0.8436465879280346,Cas,12.94,10.76,38.0,10.15,9.2,7.32,6.7,6.56,24.58,E,,,,-204.0,-0.00068,,,,,,,,"2MASX J00385796+4820145,C 018,IRAS 00362+4803,MCG +08-02-010,PGC 002329,UGC 00396",,,,False,5,NGC,185,H5,galaxy
6,5811,NGC0205,G,0.17613862811126774,0.7275458316443284,And,16.22,9.59,170.0,8.9,8.15,6.45,5.87,5.59,23.78,E,,,,-246.0,-0.00082,,,,110,,,,"2MASX J00402207+4141070,IRAS 00376+4124,MCG +07-02-014,PGC 002429,UGC 00426",,,,False,6,NGC,205,H6,galaxy
7,5831,NGC0225,OCl,0.19026852284720516,1.0780365494519752,Cas,4.2,,,7.43,7.0,,,,,,1.432,-5.373,-0.093,-28.0,-9.3e-05,,,,,,,,MWSC 0068,,,,False,7,NGC,225,H7,open cluster
8,5854,NGC0246,PN,0.2053205332046129,-0.2072045191694046,Cet,4.08,,,8.0,10.9,,,,,,1.9521,-16.962,-8.995,-16.0,-5.2e-05,10.41,11.6,11.96,,,,"BD -12 0134,HIP 003678,UCAC2 27592055","C 056,PN G118.8-74.7",,,,False,8,NGC,246,H8,nebula
9,5855,NGC0247,G,0.2056979606553567,-0.3623371401055584,Cet,19.68,5.55,167.0,9.67,9.21,8.08,7.67,7.43,23.79,SABc,,,,159.0,0.000531,,,,,,,,"2MASX J00470855-2045374,C 062,ESO 540-022,ESO-LV 540-0220,MCG -04-03-005,PGC 002758,UGCA 011",,,,False,9,NGC,247,H9,galaxy
10,5865,NGC0253,G,0.2074847414770859,-0.44136273975377494,Scl,26.79,4.58,53.0,7.94,11.11,4.81,4.09,3.77,22.42,SABc,,,,259.0,0.000864,,,,,,,,"2MASX J00473313-2517196,C 065,ESO 474-029,ESO-LV 474-0290,IRAS 00450-2533,MCG -04-03-009,PGC 002789,UGCA 013","Sculptor Filament,Silver Coin",Extended HIPASS source,,False,10,NGC,253,H10,Sculptor Galaxy
11,5890,NGC0278,G,0.22720623480410015,0.8299127859695636,Cas,2.36,2.3,30.0,11.49,10.85,8.74,8.1,7.82,22.08,SABb,,1.782,2.026,641.0,0.002141,,,,,,,,"2MASX J00520430+4733019,IRAS 00492+4716,MCG +08-02-016,PGC 003051,UGC 00528",,,,False,11,NGC,278,H11,galaxy
12,5900,NGC0288,GCl,0.23034346413455994,-0.46408110885056775,Scl,9.6,,,10.0,8.13,,,,,,0.1384,4.22,-5.65,-45.0,-0.00015,,,,,,,,MWSC 0084,,,,False,12,NGC,288,H12,globular cluster
