,id,name,type,ra,dec,const,majax,minax,pa,bmag,vmag,jmag,hmag,kmag,sbrightn,hubble,parallax,pmra,pmdec,radvel,redshift,cstarumag,cstarbmag,cstarvmag,messier,ngc,ic,cstarnames,identifiers,commonnames,nednotes,ongcnotes,notngc,KStars_Type,ra_degrees,dec_degrees
4903,4904,IC4715,*Ass,4.786283312032043,-0.3231399539878524,Sgr,120.0,60.0,90.0,,4.5,,,,,,,,,,,,,,024,,,,,Small Sgr Star Cloud,Milky Way star cloud.,,False,1,274.23383333333334,-18.514555555555557
4913,4914,IC4725,OCl,4.851053207794075,-0.3336187168913539,Sgr,14.1,,,5.29,4.6,,,,,,1.5043,-1.72,-6.101,3.0,1e-05,,,,025,,,,MWSC 2940,,,,False,3,277.944875,-19.114944444444447
5810,5811,NGC0205,G,0.17613862811126774,0.7275458316443284,And,16.22,9.59,170.0,8.9,8.15,6.45,5.87,5.59,23.78,E,,,,-246.0,-0.00082,,,,110,,,,"2MASX J00402207+4141070,IRAS 00376+4124,MCG +07-02-014,PGC 002429,UGC 00426",,,,False,8,10.092,41.68530555555555
5826,5827,NGC0221,G,0.1863015349015264,0.7132336469642938,And,7.74,4.86,170.0,8.89,8.13,6.28,5.37,5.1,22.17,E,,-17.0,-5.0,-199.0,-0.000664,,,,032,,,,"2MASX J00424182+4051546,IRAS 00399+4035,MCG +07-02-015,PGC 002555,UGC 00452",,,,False,8,10.674291666666669,40.86527777777778
5829,5830,NGC0224,G,0.1864847944729858,0.720280898632902,And,177.83,69.66,35.0,4.29,3.44,2.09,1.28,0.98,23.63,Sb,6.0,,,-300.0,-0.001,,,,031,,,,"2MASX J00424433+4116074,IRAS 00400+4059,MCG +07-02-016,PGC 002557,UGC 00454",Andromeda Galaxy,,,False,8,10.684791666666667,41.26905555555555
6212,6213,NGC0581,OCl,0.4073751190464315,1.0586818176747204,Cas,4.5,,,7.72,7.4,,,,,,0.373,-1.384,-0.497,-46.0,-0.000152,,,,103,,,,MWSC 0124,,,,False,3,23.340875000000004,60.658
6229,6230,NGC0598,G,0.40948987632343126,0.5351218271709103,Tri,62.09,36.73,23.0,6.35,5.79,5.04,4.35,4.1,23.61,Sc,,,,-179.0,-0.000598,,,,033,,,,"2MASX J01335090+3039357,IRAS 01310+3024,MCG +05-04-069,PGC 005818,UGC 01117","Triangulum Galaxy,Triangulum Pinwheel",,,False,8,23.462041666666668,30.66022222222222
6259,6260,NGC0628,G,0.4219151661565876,0.2754769513706117,Psc,9.89,9.33,87.0,9.71,9.31,7.63,7.04,6.85,23.37,Sc,,,,655.0,0.002188,,,,074,,,,"2MASX J01364177+1547004,IRAS 01340+1532,MCG +03-05-011,PGC 005974,UGC 01149",,,,False,8,24.173958333333335,15.783666666666669
6286,6287,NGC0650,PN,0.446490856465711,0.9001618035486544,Per,1.12,,,12.2,10.1,,,,,,,-0.254,-4.165,-24.0,-7.9e-05,,,17.48,076,0651,,,"2MASX J01421808+5134243,IRAS 01391+5119,PN G130.9-10.5","Barbell Nebula,Cork Nebula,Little Dumbbell Nebula",The 2MASX position is centered on a superposed star.,,False,6,25.582041666666665,51.575472222222224
6696,6697,NGC1039,OCl,0.7073964902437351,0.7460608661259017,Per,22.5,,,5.37,5.2,,,,,,1.9536,0.726,-5.732,-10.0,-3.3e-05,,,,034,,,,MWSC 0223,,,,False,3,40.53083333333334,42.74613888888889
